FY,month,total_trips
Year0,Jan,14.409
Year0,Feb,13.636
Year0,Mar,15.369
Year0,Apr,14.738
Year0,May,14.392
Year0,Jun,14.037
Year0,Jul,12.604
Year0,Aug,13.868
Year0,Sep,14.070
Year0,Oct,14.115
Year0,Nov,13.409
Year0,Dec,14.307
Year1,Jan,13.508
Year1,Feb,12.779
Year1,Mar,15.069
Year1,Apr,14.223
Year1,May,14.312
Year1,Jun,13.348
Year1,Jul,13.533
Year1,Aug,12.370
Year1,Sep,13.870
Year1,Oct,14.742
Year1,Nov,14.027
Year1,Dec,13.653
Year2,Jan,12.430
Year2,Feb,12.128
Year2,Mar,13.018
Year2,Apr,12.773
Year2,May,12.871
Year2,Jun,12.066
Year2,Jul,12.660
Year2,Aug,12.252
Year2,Sep,13.018
Year2,Oct,13.915
Year2,Nov,12.904
Year2,Dec,12.694
Year3,Jan,10.672
Year3,Feb,11.139
Year3,Mar,11.956
Year3,Apr,11.683
Year3,May,11.610
Year3,Jun,10.924
Year3,Jul,11.327
Year3,Aug,10.904
Year3,Sep,11.001
Year3,Oct,12.062
Year3,Nov,11.070
Year3,Dec,11.218